"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"4","4.793158","4.136842","4.201579","4.011579","4.521579","4.060526","2007-09-30","4.198947","4.330000"
"4","4.773636","4.096818","4.164091","3.967727","4.527727","4.010909","2007-10-31","4.198182","4.331818"
"3","4.520000","3.499000","3.581000","3.3365","4.1485","3.3470","2007-11-30","3.667000","3.866000"
"3","4.5270","3.263000","3.337000","3.1170","4.0975","3.132500","2007-12-31","3.4875","3.743000"
"3","4.330476","2.711429","2.836190","2.475714","3.744286","2.511429","2008-01-31","2.980476","3.307143"
"2","4.517000","2.053500","2.098000","1.973000","3.7375","2.188000","2008-02-29","2.7790","3.2095"
"1","4.393000","1.5440","1.507000","1.617000","3.510000","1.796500","2008-03-31","2.483500","2.932000"
"1","4.443182","1.738182","1.582727","2.047273","3.6750","2.232727","2008-04-30","2.841364","3.193636"
"2","4.596190","2.055714","1.863333","2.445714","3.880000","2.689524","2008-05-31","3.153333","3.460000"
"2","4.689048","2.419524","2.185238","2.773810","4.099524","3.075238","2008-06-30","3.485238","3.733810"
"2","4.570909","2.281818","1.975909","2.573182","4.007727","2.872727","2008-07-31","3.303182","3.595909"
"2","4.501905","2.177143","1.967143","2.420476","3.885714","2.699048","2008-08-31","3.141905","3.459048"
"1","4.269048","1.912857","1.640952","2.076190","3.686190","2.315714","2008-09-30","2.884286","3.248571"
"1","4.173182","1.420455","1.225909","1.612273","3.814091","1.864545","2008-10-31","2.726364","3.186818"
"0","4.004444","1.066667","0.741111","1.212778","3.526667","1.514444","2008-11-30","2.291667","2.818889"
"0","2.8700","0.494545","0.255909","0.820909","2.416364","1.0700","2008-12-31","1.521818","1.892727"
"0","3.128000","0.444500","0.3045","0.8070","2.517500","1.1340","2009-01-31","1.596500","1.978000"
"0","3.586842","0.622632","0.458947","0.975263","2.870000","1.368947","2009-02-28","1.871579","2.303158"
"0","3.643182","0.644091","0.425909","0.931364","2.819545","1.312273","2009-03-31","1.815909","2.417727"
